Model,Brand,Factory Location (2025-2026 EU Market),Factory Country,Battery Cells Supplier,Battery Assembly Location,EU Factory Assembly?,EU Battery Assembly?,Plan Auto+ "Tramo Europeo" Eligible,Confidence Level,Key Notes
BYD Atto 3 Comfort,BYD,China (Shanghai/Chongqing); Future: Szeged Hungary,China / Hungary,BYD internal (China),China; Future: Fót Hungary,NO (now) / YES (2026+),NO (now) / YES (2026+),NO (current) / YES (Q2 2026+),HIGH,Currently imports from China only. Szeged factory (€4B investment) starts Q2 2026. Battery assembly in Fót announced.
BYD Dolphin 60.4 kWh,BYD,China; Future: Szeged Hungary,China / Hungary,BYD internal (China),China; Future: Hungary,NO (now) / YES (2026+),NO (now) / YES (2026+),NO (current) / YES (Q2 2026+),HIGH,First model for Szeged plant (2026). Current 2025 sales are Chinese imports.
BYD Dolphin Surf Comfort,BYD,Szeged Hungary (planned Q2 2026),Hungary,BYD internal (China),Hungary (Szeged),Future YES,Future YES,NO (now) / YES (2026+),MEDIUM,New Seagull-based model. Will be first off Hungarian line. Timeline shifted from EOY 2025 to Q2 2026.
BYD Seal AWD Excellence,BYD,China; Future: Szeged Hungary,China / Hungary,BYD internal (China),China; Future: Hungary,NO (now) / YES (2026+),NO (now) / YES (2026+),NO (current) / YES (2026+),MEDIUM,Planned for Szeged production. No current EU availability; all sales from China.
BYD Seal U 87 kWh Design,BYD,Turkey (Manisa plant),Turkey,BYD internal (China),Turkey,NO (Turkey≠EU),NO (Turkey≠EU),NO - Turkey is NOT EU,MEDIUM,BYD confirmed Seal U production in Manisa. Turkey is NATO member but NOT EU. Does not qualify for Plan Auto+ subsidy.
Hyundai Inster Long Range,Hyundai,South Korea (Ulsan / Asan),South Korea,LG Energy Solution,South Korea,NO,NO,NO,MEDIUM,Currently Korea imports. European production (Nošovice Czech) planned but NOT operational yet for Inster.
Hyundai Ioniq 5 Long Range RWD,Hyundai,South Korea (Ulsan),South Korea,LG Energy Solution,South Korea,NO,NO,NO,HIGH,All EU sales from Korea. Hyundai ceased European car production 2020.
Hyundai Ioniq 5 Long Range AWD,Hyundai,South Korea (Ulsan),South Korea,LG Energy Solution,South Korea,NO,NO,NO,HIGH,Same as RWD - all from Korea. US Georgia plant (2025+) supplies North America only.
Hyundai Ioniq 6 Long Range RWD,Hyundai,South Korea (Asan); also Singapore,South Korea,LG Energy Solution,South Korea,NO,NO,NO,MEDIUM,Asan primary for EU. Singapore facility for Asian markets only.
Hyundai Kona Electric 65 kWh,Hyundai,Nošovice Czech Republic (HMMC),Czech Republic,LG Energy Solution (Wroclaw Poland),Czech Republic (Nošovice),YES,YES,YES - FULL COMPLIANCE,HIGH,EXCELLENT Plan Auto+ candidate. Czech assembly + Polish batteries. All EU-sourced supply chain. Production began mid-2023.
Kia EV3 Long Range,Kia,South Korea (Gwangmyeong EVO),South Korea,LG Energy Solution,South Korea (Dangjin - Webasto),NO,NO,NO,HIGH,Imported from Korea. European production (Žilina Slovakia) only started with EV4 (Aug 2025). EV3 remains Korea-sourced.
Kia EV6 Long Range RWD,Kia,South Korea (Woojeong-myeon),South Korea,LG Energy Solution,South Korea (Dangjin),NO,NO,NO,HIGH,EU sales all from Korea. US Georgia facility (2025+) supplies North America only.
Kia EV6 Long Range GT,Kia,South Korea (Woojeong-myeon),South Korea,LG Energy Solution,South Korea (Dangjin),NO,NO,NO,HIGH,GT variant exclusively Korea-made; not transferred to Georgia production.
MG 4 Standard Range,MG,China (Ningde Fujian); also Thailand (2024+),China,CATL,China (Ningde),NO,NO,NO,HIGH,All EU market sales from Chinese factories. CATL supplies all batteries. No EU assembly. CATL Debrecen (Hungary) plant starts 2026 but won't affect 2025-2026 supplies.
MG S5 64 kWh,MG,China (Shanghai/Nanjing/Liuzhou); Malaysia CKD (2026),China,CATL,China,NO,NO,NO,MEDIUM,New 2025 model. Currently China manufacturing only. No EU factory announced. Malaysian CKD assembly started March 2026 (not EU).
Mercedes-Benz EQA 250+,Mercedes-Benz,Rastatt Germany,Germany,Accumotive (MB); LG Energy Solution; future CATL LFP,Germany (Rastatt) + Poland (Jawor),YES,YES,YES - FULL COMPLIANCE,HIGH,EXCELLENT Plan Auto+ candidate. EU-assembled with EU battery sources. Jawor plant (Poland) produces battery systems.
Mercedes-Benz EQB 250+,Mercedes-Benz,Kecskemét Hungary,Hungary,LG Energy Solution; Accumotive; future CATL LFP,Hungary (Kecskemét),YES,YES,YES - FULL COMPLIANCE,HIGH,EXCELLENT Plan Auto+ candidate. World's first EV at Hungarian MB facility. All EU-sourced. Battery assembly on-site.
Nissan Ariya 87 kWh FWD,Nissan,Tochigi Japan,Japan,Envision AESC (Japan/UK),Japan,NO,NO,NO,HIGH,Exclusively Japan production. Envision AESC has UK Sunderland facility but Ariya supplied from Japan. Not EU-eligible.
Smart #1 Pro+,Smart,Xi'an China (Geely),China,CALB + Sunwoda (China),China,NO,NO,NO,HIGH,All variants manufactured at Xi'an Geely plant. No EU production despite Mercedes co-ownership. Pure China-sourced.
Smart #3 Pro+,Smart,Xi'an China (Geely),China,CALB + Sunwoda (China),China,NO,NO,NO,HIGH,All Smart #3 variants at Xi'an. No EU production. Pure China-sourced.
Tesla Model 3 RWD Highland,Tesla,Giga Shanghai China,China,CATL (70%) + LG Energy Solution (30%),China (Shanghai),NO,NO,NO,HIGH,European market exclusively from Shanghai. US Fremont production does not supply Europe. Highland started Oct 2023.
Tesla Model 3 Long Range AWD Highland,Tesla,Giga Shanghai China,China,CATL + LG Energy Solution; some BYD,China (Shanghai),NO,NO,NO,HIGH,No European production. Shanghai supplies all EU deliveries for Highland refreshed Model 3.
Tesla Model Y RWD Long Range,Tesla,Giga Shanghai China (primary); also Giga Berlin,China / Germany,CATL (Shanghai); BYD + CATL + LG (Berlin),China (Shanghai mostly),Conditional (Berlin-made YES),Conditional - Berlin-made YES,Conditional YES - only Berlin variant,MEDIUM-HIGH,SPLIT production: Shanghai (NOT EU-eligible) supplies most EU; Berlin (Grünheide) production (2025) for some variants IS EU-eligible with EU batteries.
Tesla Model Y AWD Long Range,Tesla,Giga Berlin Germany (Grünheide),Germany,BYD (LFP) + CATL + LG Energy Solution,Germany (Berlin),YES,YES,YES - WITH EU BATTERIES,HIGH,GOOD Plan Auto+ candidate. Berlin production supplies EU market. Battery sourced from BYD + CATL + LG Energy Solution (EU + overseas mix).
Toyota bZ4X FWD,Toyota,Motomachi + Takaoka Japan,Japan,Prime Planet & Energy Solutions (Panasonic JV) or CATL,Japan,NO,NO,NO,HIGH,EU market exclusively from Japan (not China production). Uses Panasonic-based cells for FWD. No EU factory. Plan Auto+ ineligible.
